code regbl;Définition;catégorie sia;nombre de logement
1110;Maison individuelle;2;1
1121;Maison à deux logements;2;2
1122;Immeuble à trois logements ou plus;1;3
1130;Habitat communautaire;1;2
1211;Hôtel;1;4
1212;Autre bâtiment d'hébergement de tourisme;1;1
1220;Immeuble de bureaux;1;1
1230;Bâtiment commercial;1;1
1231;Restaurants et bars dans des bâtiments sans usage résidentiel;1;1
1241;Bâtiment des transports et des communications sans garage;1;1
1242;Garage;1;1
1251;Bâtiment industriel;1;1
1252;Réservoir, silo et entrepôt;1;1
1261;Bâtiment à usage culturel ou récréatif;1;1
1262;Musée et bibliothèque;1;1
1263;Bâtiment pour l'enseignement et la recherche;1;1
1264;Hôpital et établissement de santé;1;1
1265;Salle de sport;1;1
1271;Bâtiment d'exploitation agricole;1;1
1272;Édifice cultuel et religieux;1;1
1273;Monument historique ou classé;0;1
1274;Autre bâtiment non classé ailleur;1;1
1275;Autres bâtiments pour l'hébergement collectif;1;1
1276;Bâtiments pour la garde d'animaux;1;1
1277;Bâtiments pour les cultures végétales;1;1
1278;Autres bâtiments d'exploitation agricole;1;1
